text
<p align='center'><font size="42" color="#FFFFFF"><i><br><br><br><br><br>インセイン<br><br>狂気カード</i></font></p>		#b22222	裏向きの狂気カード
<font size="25"color="#000000"><p align='left'><u>                    <i>Handout</i>                 </u></p><p align='left'><FONT SIZE="3"><BR></FONT><FONT SIZE="42">狂気：疑心暗鬼</FONT><BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR>トリガー：同じシーンにいる自分以外のキャラクターがファンブルする<BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR>周囲の人物に対して疑惑が高まる。誰かがあなたを裏切っている！　この【狂気】が顕在化したシーンに登場している自分以外のPCの中から一人を選び、2点のダメージを与える。<BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR><i>この狂気を自分から明らかにする事はできない。</i></font></p>			疑心暗鬼
<font size="25"color="#000000"><p align='left'><u>                    <i>Handout</i>                 </u></p><p align='left'><FONT SIZE="3"><BR></FONT><FONT SIZE="42">狂気：広がる恐怖</FONT><BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR>トリガー：同じシーンにいる誰か(自分も含む)がファンブルする<BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR>あなたは、何もかもが怖くなっている。自分の【恐怖心】の特技1つを選ぶ。その上下左右の位置にある特技も【恐怖心】として扱う<BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR><i>この狂気を自分から明らかにする事はできない。</i></font></p>			広がる恐怖
<font size="25"color="#000000"><p align='left'><u>                    <i>Handout</i>                 </u></p><p align='left'><FONT SIZE="3"><BR></FONT><FONT SIZE="42">狂気：依存</FONT><BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR>トリガー：自分が「鎮痛剤」を使用する。<BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR>あなたは痛みに耐えられない。セッションが終了するまで、自分がシーンプレイヤーのシーンで自分の【生命力】か【正気度】が1点以上減少している場合、持っていたら必ず「鎮痛剤」を使用すること。<BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR><i>この狂気を自分から明らかにする事はできない。</i></font></p>			依存
<font size="25"color="#000000"><p align='left'><u>                    <i>Handout</i>                 </u></p><p align='left'><FONT SIZE="3"><BR></FONT><FONT SIZE="42">狂気：疎外感</FONT><BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR>トリガー：同じシーンに自分以外のPCが登場していない。<BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR>みんながあなたを嫌っているような妄想にかられる。次に恐怖判定に失敗すると、自分で自分に1D6点のダメージを与える(一回のみ)。<BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR><i>この狂気を自分から明らかにする事はできない。</i></font></p>			疎外感
<font size="25"color="#000000"><p align='left'><u>                    <i>Handout</i>                 </u></p><p align='left'><FONT SIZE="3"><BR></FONT><FONT SIZE="42">狂気：挙動不審</FONT><BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR>トリガー：自分が怪異によってダメージを受ける。<BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR>あなたは、怪物から何かを伝染されたり、埋め込まれたという妄想にとりつかれている。セッション終了時まで、調査判定と感情判定にマイナス1の修正がつく。<BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR><i>この狂気を自分から明らかにする事はできない。</i></font></p>			挙動不審
<font size="25"color="#000000"><p align='left'><u>                    <i>Handout</i>                 </u></p><p align='left'><FONT SIZE="3"><BR></FONT><FONT SIZE="42">狂気：盲目</FONT><BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR>トリガー：自分が恐怖判定を行う。<BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR>あなたの心は、これ以上怖いものを見るのを拒絶している。自分が新たに【狂気】を公開するまで、調査判定と命中判定にマイナス2の修正がつく。<BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR><i>この狂気を自分から明らかにする事はできない。</i></font></p>			盲目
<font size="25"color="#000000"><p align='left'><u>                    <i>Handout</i>                 </u></p><p align='left'><FONT SIZE="3"><BR></FONT><FONT SIZE="42">狂気：言葉を失う</FONT><BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR>トリガー：誰かが自分に対するマイナスの【感情】を獲得する。<BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR>あなたは、強い敵意を感じた。誰かと話すのが怖い。自分が新たに【狂気】を公開するまで、自分が「情報共有」によって【情報】を獲得できなくなり、ドラマシーンで誰かに自発的に【情報】を渡すことができなくなる。<BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR><i>この狂気を自分から明らかにする事はできない。</i></font></p>			言葉を失う
<font size="25"color="#000000"><p align='left'><u>                    <i>Handout</i>                 </u></p><p align='left'><FONT SIZE="3"><BR></FONT><FONT SIZE="42">狂気：パニック</FONT><BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR>トリガー：自分がダメージを受ける。<BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR>あなたは、暴力が恐ろしい。戦闘になると、その心はひどく動揺してしまう。自分が新たに【狂気】を公開するまで、戦闘中のファンブル値が１上昇する。<BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR><i>この狂気を自分から明らかにする事はできない。</i></font></p>			パニック
<font size="25"color="#000000"><p align='left'><u>                    <i>Handout</i>                 </u></p><p align='left'><FONT SIZE="3"><BR></FONT><FONT SIZE="42">狂気：いきすぎた想い</FONT><BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR>トリガー：自分が誰かに対して【感情】を獲得する。<BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR>自分の中の気持ちが爆発しそうだ。この【狂気】が顕在化したシーンに登場している自分以外のＰＣ全員が、情動の分野からランダムに特技１つを選び、恐怖判定を行う。<BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR><i>この狂気を自分から明らかにする事はできない。</i></font></p>			いきすぎた想い
<font size="25"color="#000000"><p align='left'><u>                    <i>Handout</i>                 </u></p><p align='left'><FONT SIZE="3"><BR></FONT><FONT SIZE="42">狂気：血への渇望</FONT><BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR>トリガー：自分が誰かにダメージを与える。<BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR>あなたは思う存分、残虐に振る舞いたいと思っている。この【狂気】が顕在化したシーンに登場している自分以外のＰＣ全員が、暴力の分野からランダムに特技１つを選び、恐怖判定を行う。<BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR><i>この狂気を自分から明らかにする事はできない。</i></font></p>			血への渇望
<font size="25"color="#000000"><p align='left'><u>                    <i>Handout</i>                 </u></p><p align='left'><FONT SIZE="3"><BR></FONT><FONT SIZE="42">狂気：フェティッシュ</FONT><BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR>トリガー：自分が感情判定の目標になる。<BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR>あなたは人造物への偏愛に目覚める。この新しい愛の形をみんなにも知って欲しい。この【狂気】が顕在化したシーンに登場している自分以外のＰＣ全員が、技術の分野からランダムに特技１つを選び、恐怖判定を行う。<BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR><i>この狂気を自分から明らかにする事はできない。</i></font></p>			フェティッシュ
<font size="25"color="#000000"><p align='left'><u>                    <i>Handout</i>                 </u></p><p align='left'><FONT SIZE="3"><BR></FONT><FONT SIZE="42">狂気：絶叫</FONT><BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR>トリガー：自分が恐怖判定に失敗する。<BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR>事件の恐怖があなたをさいなむ。また何かあれば、恐ろしい絶叫をあげてしまうだろう。この【狂気】が顕在化したシーンに登場している自分以外のＰＣ全員が、知覚の分野からランダムに特技１つを選び、恐怖判定を行う。<BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR><i>この狂気を自分から明らかにする事はできない。</i></font></p>			絶叫
<font size="25"color="#000000"><p align='left'><u>                    <i>Handout</i>                 </u></p><p align='left'><FONT SIZE="3"><BR></FONT><FONT SIZE="42">狂気：怪物</FONT><BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR>トリガー：自分がファンブルする。<BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR>あなたには、怪物的な一面がある。これを知られるわけにはいかないが…。この【狂気】が顕在化したシーンに登場している自分以外のＰＣ全員が、怪異の分野からランダムに特技１つを選び、恐怖判定を行う。<BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR><i>この狂気を自分から明らかにする事はできない。</i></font></p>			怪物
<font size="25"color="#000000"><p align='left'><u>                    <i>Handout</i>                 </u></p><p align='left'><FONT SIZE="3"><BR></FONT><FONT SIZE="42">狂気：異言</FONT><BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR>トリガー：自分が感情判定の目標になる。<BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR>あなたは、大宇宙の残酷な真実を知っている。これをみんなに話したいのだが…。この【狂気】が顕在化したシーンに登場している自分以外のＰＣ全員が、知識の分野からランダムに特技１つを選び、恐怖判定を行う。<BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR><i>この狂気を自分から明らかにする事はできない。</i></font></p>			異言
<font size="25"color="#000000"><p align='left'><u>                    <i>Handout</i>                 </u></p><p align='left'><FONT SIZE="3"><BR></FONT><FONT SIZE="42">狂気：記憶喪失</FONT><BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR>トリガー：自分の【正気度】が減少する。<BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR>あなたは、忘れたくて仕方のない辛い経験をしたようだ。自分の【秘密】と自分の【居所】以外の【情報】を全て失う。<BR><u>                                                </u><FONT SIZE="3"><BR></FONT><BR><i>この狂気を自分から明らかにする事はできない。</i></font></p>			記憶喪失
